player,team,position,league,age,minutes,shots,key_passes,progressive_passes,tackles_won,xg,xa
Alex Cole,Demo FC,ST,Demo League,24,2220,84,24,38,12,15.1,5.0
Noah Reed,Demo FC,AM,Demo League,26,2100,58,49,63,20,10.9,9.2
Ryan Vale,Demo FC,WG,Demo League,22,1940,52,34,46,16,8.8,5.7
Leo Finn,Metro City,ST,Demo League,27,2280,76,22,31,10,14.0,3.9
Milo Grant,Metro City,CM,Demo League,30,2310,19,42,72,55,3.2,7.5
Yuri Dane,Metro City,WG,Demo League,25,1860,44,27,40,18,7.6,4.6
Tom Wren,Highland SC,ST,Demo League,29,2140,71,18,26,9,12.9,3.1
Ilya Ross,Highland SC,CM,Demo League,27,2080,21,37,61,46,4.1,6.7
Ben Cairn,Highland SC,CB,Demo League,28,2250,6,9,22,64,0.8,1.4
Sam Holt,Capital Rovers,ST,Demo League,25,2050,66,24,30,12,12.2,4.2
Dario Kent,Capital Rovers,AM,Demo League,24,1930,39,41,49,22,6.8,7.8
Joel Pike,Capital Rovers,WG,Demo League,23,1790,37,26,35,17,5.9,4.3
Liam Hart,Rival United,WG,Demo League,23,1990,56,32,50,17,9.6,6.1
Ethan Shaw,Rival United,AM,Demo League,28,2130,49,39,55,23,8.4,7.9
Omar Kline,Rival United,ST,Demo League,26,1820,43,14,19,8,7.3,2.1
Marco Ives,Coastal Town,ST,Demo League,25,2090,62,20,27,11,11.3,3.7
Kai Mercer,Coastal Town,CM,Demo League,24,2210,22,51,75,49,4.0,9.4
Niko Pell,Coastal Town,FB,Demo League,23,1880,9,18,44,39,1.2,3.3
